neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,2.701,0.0915,2.641,2.4,28.99,1570
N,2.619,0.2237,2.984,2.317,11.28,1880
N,3.295,0.1572,3.112,2.623,14.22,2010
N,3.962,0.1996,3.103,2.484,25.96,2000
N,3.087,0.1311,3.07,2.667,15.98,1960
N,2.943,0.1195,2.966,2.611,7.3,1870
N,2.969,0.2625,3.238,2.388,24.68,2130
N,3.577,0.1156,3.047,2.695,8.57,1940
N,1.344,0.2793,2.735,1.971,14.31,1650
N,1.66,0.1617,2.761,2.314,8.08,1680
N,1.613,0.1672,2.616,2.178,12.45,1550
Y,0.468,0.7832,2.603,0.564,8.24,1530
N,2.56,0.1054,2.778,2.485,8.54,1690
N,2.123,0.1073,2.995,2.674,4.01,1890
N,2.815,0.1793,3.131,2.569,10.39,2020
N,2.743,0.1696,3.139,2.606,25.1,2030
N,1.901,0.2304,2.7,2.078,10.55,1620
N,2.836,0.0737,3.127,2.896,12.15,2020
N,2.775,0.0585,3.045,2.867,18.77,1940
N,4.084,0.1733,3.082,2.548,26.18,1980
N,2.044,0.2701,2.73,1.993,8.92,1650
N,5.234,0.1675,3.213,2.674,19.6,2100
N,1.473,0.2607,2.709,2.002,10.65,1630
N,2.8,0.2818,3.227,2.318,16.41,2120
N,2.103,0.1723,2.718,2.249,8.31,1640
N,3.902,0.1103,3.21,2.857,16.83,2100
N,3.515,0.0149,3.03,2.984,10.6,1930
N,2.682,0.1727,3.156,2.611,10.98,2050
N,2.207,0.2613,2.853,2.107,5.94,1760
N,2.069,0.1803,2.596,2.128,11.79,1530
N,1.678,0.2574,2.764,2.052,12.77,1680
N,1.886,0.168,3.022,2.515,10.35,1920
N,3.308,0.12,3.128,2.753,16.04,2020
Y,0.679,0.5642,2.007,0.875,10.27,1040
Y,0.435,0.922,1.926,0.15,4.86,977
N,4.64,0.1687,3.173,2.637,28.23,2060
N,3.503,0.202,3.191,2.547,17.17,2080
Y,0.349,0.3759,1.641,1.024,11.05,768
N,2.196,0.0693,2.943,2.739,17.03,1840
N,3.12,0.1546,2.803,2.37,8.89,1710
N,3.728,0.2113,3.167,2.498,27.72,2060
Y,0.535,0.7485,2.739,0.689,10.36,1660
N,1.128,0.2581,2.885,2.14,7.1,1790
N,2.703,0.1044,3.09,2.767,11.4,1980
N,2.619,0.0913,2.975,2.703,5.76,1870
N,4.608,0.0642,3.041,2.846,8.24,1940
N,2.21,0.1519,3.004,2.548,9.49,1900
N,2.601,0.1527,3.068,2.6,11.45,1960
Y,0.313,0.7822,2.469,0.538,11.11,1420
Y,0.294,0.4114,1.702,1.002,27.31,811
N,3.048,0.1986,2.864,2.295,2.98,1770
N,3.218,0.0564,3.129,2.952,26.07,2020
N,2.662,0.0787,2.872,2.646,7.6,1780
N,3.129,0.2052,3.128,2.486,11.16,2020
N,2.774,0.0923,3.031,2.751,5.7,1930
N,4.379,0.1816,3.202,2.621,15.72,2090
N,2.955,0.2319,3.184,2.446,27.13,2080
N,5.264,0.0556,3.144,2.969,27.32,2040
N,2.567,0.1123,3.037,2.696,8.64,1930
N,2.662,0.2433,2.744,2.076,15.85,1660
Y,0.232,0.6516,2.687,0.936,15.71,1610
N,2.424,0.1203,2.725,2.397,10.2,1640
N,2.318,0.2263,3.108,2.405,17.12,2000
N,4.913,0.0623,3.126,2.931,21.55,2020
Y,0.066,0.6282,1.271,0.472,13.32,523
Y,0.636,0.8101,2.789,0.53,9.43,1700
N,2.196,0.2274,3.211,2.481,13.99,2100
N,1.856,0.1996,2.722,2.179,10.65,1640
N,3.516,0.2642,3.136,2.308,12.1,2030
N,2.777,0.2303,3.076,2.367,17.99,1970
N,3.332,0.1238,2.664,2.334,8.57,1590
N,3.09,0.044,2.791,2.668,5.51,1700
N,2.616,0.2786,3.048,2.199,9.9,1940
N,1.986,0.1861,2.597,2.114,16.69,1530
Y,0.544,0.4346,2.018,1.141,24.35,1050
N,2.334,0.246,2.887,2.177,8.4,1790
Y,0.064,0.6183,2.099,0.801,5.02,1110
N,4.338,0.3462,3.123,2.042,27.09,2020
N,4.553,0.2765,3.115,2.254,24.14,2010
N,2.587,0.0472,2.754,2.624,4.94,1670
N,2.191,0.0655,2.859,2.672,18.49,1770
N,3.47,0.1005,3.061,2.754,16.42,1960
N,2.868,0.151,3.187,2.706,27.78,2080
N,2.731,0.1352,3.093,2.675,8.65,1990
N,2.713,0.0174,3.08,3.026,10.75,1970
N,1.824,0.2205,2.674,2.084,12.01,1600
N,3.024,0.1644,3.044,2.544,7.09,1940
N,2.128,0.1298,2.67,2.323,12.03,1590
N,3.463,0.2624,3.234,2.386,24.6,2120
N,4.989,0.1229,3.143,2.757,24.04,2040
N,1.446,0.161,2.807,2.355,9,1720
N,2.177,0.1729,2.763,2.285,8.89,1680
N,2.802,0.2314,2.931,2.253,24.8,1830
N,2.305,0.1057,3.065,2.741,16.48,1960
N,2.292,0.1338,2.794,2.42,8.25,1710
N,2.321,0.2326,2.737,2.1,5.19,1650
N,2.464,0.1404,3.146,2.705,15.95,2040
N,2.539,0.0825,2.95,2.706,8.99,1850
N,1.659,0.1659,2.76,2.302,8.66,1670
N,2.15,0.0752,2.455,2.27,10.91,1400
N,2.039,0.2535,2.766,2.065,15.18,1680
Y,0.944,0.7424,2.64,0.68,35.87,1570
N,3.05,0.1927,3.127,2.525,19.39,2020
N,2.671,0.1741,3.137,2.591,27.72,2030
N,3.37,0.3522,3.138,2.033,32.6,2030
N,4.601,0.1532,3.251,2.753,15.04,2140
Y,0.753,0.5719,2.549,1.091,12.55,1490
N,4.081,0.1115,3.179,2.825,17.66,2070
N,3.385,0.1388,3.023,2.604,14.47,1920
N,3.073,0.1341,3.091,2.676,15.06,1980
N,4.443,0.1467,3.239,2.764,29.09,2130
N,3.326,0.1559,3.235,2.731,28.6,2130
N,2.284,0.2198,2.709,2.114,7.79,1630
N,3.031,0.0261,2.915,2.839,13.62,1820
Y,0.262,0.4768,1.727,0.903,11.85,829
Y,0.143,0.2,1.068,0.854,11.81,403
N,2.536,0.2014,2.645,2.112,8.71,1570
N,2.474,0.3352,3.078,2.046,18.19,1970
N,2.318,0.2776,2.834,2.047,7.5,1740
N,3.186,0.0855,3.136,2.868,26.89,2030
N,4.517,0.1372,3.26,2.813,28.31,2150
N,2.786,0.2493,2.966,2.227,9.19,1870
N,3.913,0.2337,3.133,2.401,14.09,2030
N,4.433,0.0746,3.114,2.882,12.89,2010
Y,0.66,0.6688,3.065,1.015,19.05,1960
Y,0.108,0.6145,1.317,0.508,22,552
Y,1.115,0.419,2.098,1.219,35.07,1110
N,2.106,0.2919,3.111,2.203,28.01,2000
N,2.528,0.2055,2.732,2.171,16.62,1650
N,2.364,0.1444,2.773,2.373,5.17,1690
N,2.012,0.1173,2.581,2.278,9.17,1510
N,2.063,0.2097,2.563,2.025,10.84,1500
N,5.529,0.1353,3.223,2.787,17.47,2110
N,2.36,0.2196,2.754,2.15,12.17,1670
N,1.953,0.1296,2.702,2.352,10.31,1620
N,3.979,0.1805,3.186,2.611,27.43,2080
N,3.136,0.2765,3.17,2.294,13.93,2060
N,2.368,0.2987,2.851,1.999,10.05,1760
Y,0.108,0.5739,2.294,0.978,5.58,1270
N,3.075,0.3209,3.094,2.101,27.49,1990
N,4.139,0.1825,3.217,2.63,28.78,2110
N,4.061,0.3558,3.134,2.019,26.56,2030
N,3.473,0.1061,2.804,2.507,14.65,1720
N,3.645,0.2426,2.764,2.093,11.04,1680
Y,0.078,0.5601,1.79,0.787,7.91,875
N,2.331,0.2183,2.678,2.093,9.4,1600
N,2.261,0.2707,3.153,2.3,15.08,2050
N,1.611,0.4981,3.259,1.636,15.5,2150
N,1.4,0.4999,3.192,1.596,22.4,2080
Y,0.382,0.5458,1.487,0.675,10.43,663
N,2.29,0.2652,2.761,2.029,17.33,1680
N,2.239,0.2119,2.886,2.275,1.28,1790
Y,0.17,0.108,0.9833,0.877,5.1,356
N,3.175,0.1349,3.225,2.79,19.42,2120
N,1.762,0.287,3.112,2.219,18.74,2000
N,2.045,0.1681,2.786,2.317,6.7,1700
N,2.013,0.2217,2.843,2.213,8.56,1750
N,2.337,0.1616,2.564,2.15,9.67,1500
N,2.737,0.2166,3.125,2.448,10.73,2020
N,1.109,0.5419,3.069,1.406,37.55,1960
N,1.993,0.2468,2.803,2.111,16.7,1710
N,2.383,0.1621,3.1,2.598,1.23,1990
N,2.844,0.2739,3.154,2.29,25.03,2050
N,4.021,0.1134,3.184,2.823,22.76,2080
N,0.866,0.4889,2.734,1.397,18.25,1650
N,4.561,0.1669,3.17,2.641,16.45,2060
N,3.816,0.3918,3.162,1.923,23.42,2050
N,3.189,0.2247,2.434,1.887,16.56,1390
N,4.124,0.0554,2.924,2.762,16.99,1830
N,3.372,0.208,3.155,2.499,12.38,2050
N,1.911,0.2728,2.839,2.065,9.56,1750
N,2.208,0.2639,3.162,2.328,16.28,2050
N,2.994,0.283,3.153,2.261,22.75,2040
N,1.534,0.4671,3.015,1.606,33.37,1910
Y,0.342,0.6824,1.376,0.437,22.08,590
N,1.926,0.1803,2.783,2.281,9.25,1700
N,1.699,0.1696,2.744,2.279,7.76,1660
N,4.23,0.1347,2.583,2.235,18.14,1520
N,3.042,0.1879,3.133,2.544,19.02,2030
N,2.697,0.1905,2.429,1.966,14.57,1380
N,4.606,0.1818,3.133,2.563,26.55,2030
Y,0.582,0.5324,1.792,0.838,21.55,876
Y,1.288,0.6175,2.643,1.011,35.52,1570
N,2.863,0.2144,3.097,2.433,17.37,1990
N,3.316,0.188,3.199,2.597,27.93,2090
N,3.131,0.1613,3.088,2.589,15.69,1980
N,2.669,0.145,3.07,2.625,9.37,1960
N,2.595,0.0933,2.735,2.48,11.52,1650
N,2.269,0.2221,2.885,2.244,18.05,1790
N,2.556,0.1272,3.142,2.742,28.29,2030
N,3.654,0.0966,3.132,2.829,17.46,2020
N,2.893,0.2277,3.213,2.481,9.94,2100
N,2.697,0.1673,3.182,2.65,27.08,2070
N,2,0.2528,3.048,2.278,16.96,1940
Y,0.374,0.7179,2.186,0.617,6.99,1180
Y,0.066,0.7715,2.435,0.556,6.36,1390
N,5.348,0.1611,3.153,2.645,29.63,2050
Y,0.306,0.6173,2.673,1.023,14.41,1600
N,3.977,0.2267,3.138,2.426,12.62,2030
N,2.903,0.0778,2.962,2.732,16.43,1860
N,3.865,0.1557,3.138,2.649,29.81,2030
N,2.124,0.3865,2.692,1.652,6.56,1610
N,2.559,0.1879,2.648,2.151,6.16,1570
N,2.507,0.3151,3.173,2.173,14.34,2060
N,3.007,0.1644,3.136,2.62,18.79,2030
N,3.07,0.2328,2.995,2.298,13.77,1890
N,3.16,0.2456,3.081,2.324,29.77,1970
N,2.309,0.1291,3.051,2.657,15.37,1950
N,3.039,0.1088,3.195,2.847,10.92,2090
N,1.987,0.2001,3.124,2.499,20.77,2020
N,2.593,0.206,3.136,2.49,29.62,2030
N,3.207,0.2954,3.106,2.189,11.46,2000
N,4.949,0.0272,3.061,2.978,10.03,1960
N,3.642,0.3019,2.854,1.992,26.41,1760
N,3.031,0.1351,2.575,2.227,27.69,1510
N,2.455,0.2344,2.732,2.092,8.39,1650
N,2.784,0.1887,3.114,2.526,10.03,2010
N,3.887,0.189,2.903,2.354,10.36,1810
N,2.689,0.1987,2.98,2.388,7.62,1880
N,1.968,0.2144,3.031,2.381,15.89,1930
N,2.379,0.206,3.144,2.496,16.06,2040
N,2.559,0.1948,3.115,2.508,11.61,2010
N,3.096,0.1375,3.135,2.704,10.73,2030
N,2.028,0.1188,2.625,2.313,11.52,1550
N,2.185,0.2825,3.094,2.22,10.05,1990
N,2.572,0.2236,3.012,2.338,13.31,1910
N,4.777,0.1195,3.129,2.755,27.91,2020
N,2.49,0.2278,3.022,2.334,5.45,1920
N,2.946,0.1755,3.191,2.631,10.77,2080
N,2.992,0.1223,3.079,2.703,15.1,1970
Y,0.394,0.5296,1.708,0.804,44.77,815
N,3.52,0.1134,2.991,2.651,14.46,1890
N,2.18,0.2292,2.945,2.27,8.45,1850
N,3.349,0.1808,3.173,2.599,29.13,2060
Y,0.36,0.5339,2.206,1.028,40.21,1200
N,2.836,0.2527,3.129,2.339,10.9,2020
N,3.938,0.2127,3.185,2.507,26.05,2080
N,1.927,0.2045,2.596,2.065,31.41,1530
N,2.979,0.215,3.008,2.361,3.25,1910
N,2.688,0.1192,3.034,2.673,8.12,1930
N,2.992,0.2082,3.134,2.481,9.98,2030
Y,0.258,0.7808,2.015,0.442,6.58,1040
Y,0.091,0.184,0.9662,0.788,6.35,347
N,4.592,0.2283,3.164,2.442,28.66,2060
N,1.321,0.397,2.787,1.68,14.11,1700
N,2.053,0.2529,2.301,1.719,8.96,1270
N,2.808,0.1129,2.568,2.278,13.34,1500
N,1.984,0.236,3.159,2.413,8.5,2050
N,4.063,0.3323,3.167,2.115,23.21,2060
N,1.505,0.2809,2.295,1.65,2.2,1270
N,2.563,0.2421,3.101,2.351,17.05,1990
N,3.065,0.2734,3.105,2.256,26.91,2000
N,3.411,0.242,3.179,2.409,15.49,2070
N,2.539,0.0934,3.167,2.871,8.55,2060
N,2.517,0.1521,3.172,2.69,27,2060
Y,1.184,0.6943,3.509,1.073,45.44,2400
N,4.435,0.3394,3.141,2.075,22,2030
N,2.764,0.2586,3.034,2.25,17.31,1930
N,3.134,0.1939,3.139,2.53,23.23,2030
N,3.791,0.3166,3.17,2.167,27.19,2060
N,3.055,0.2841,3.148,2.254,16.51,2040
N,3.027,0.1942,2.282,1.838,23.12,1260
N,3.657,0.2062,3.012,2.391,8.5,1910
N,2.549,0.2506,2.996,2.246,14.77,1890
N,3.975,0.185,2.932,2.39,9.74,1830
N,1.598,0.3857,2.777,1.706,16.82,1690
Y,1.417,0.5206,2.252,1.08,18.52,1230
N,1.697,0.2427,3.098,2.347,9.66,1990
N,4.534,0.2701,3.155,2.303,14.14,2050
N,2.913,0.2362,2.972,2.27,13.41,1870
N,2.684,0.1324,3.054,2.649,16.98,1950
N,1.992,0.2142,2.628,2.065,12.39,1560
N,2.407,0.4077,2.75,1.629,14.31,1670
N,2.061,0.0638,2.56,2.396,13.85,1500
N,2.855,0.2197,3.104,2.422,11.41,2000
N,2.062,0.2948,3.064,2.161,22.51,1960
N,2.283,0.228,3.144,2.427,10.57,2040
N,2.35,0.1594,2.882,2.423,12.21,1790
Y,1.266,0.7555,2.157,0.528,8.01,1160
Y,0.62,0.6358,1.848,0.673,12.09,918
N,3.276,0.2961,2.637,1.856,4.92,1560
N,2.335,0.2675,2.676,1.96,15.48,1600
N,2.355,0.1576,2.569,2.164,8.4,1500
N,2.345,0.1868,3.032,2.466,16.95,1930
N,1.575,0.2952,2.755,1.942,10.82,1670
N,2.651,0.2459,3.129,2.36,3.69,2020
N,2.792,0.1351,2.603,2.251,11.41,1530
N,3.251,0.0215,3.021,2.956,9.75,1920
N,2.216,0.2387,3.037,2.312,15.07,1930
Y,0.075,0.6193,2.52,0.96,4.72,1460
Y,0.585,0.7341,2.206,0.587,17.38,1200
N,1.788,0.4084,2.923,1.73,23.41,1830
N,2.987,0.1598,3.075,2.584,9.18,1970
N,2.99,0.2145,2.64,2.073,3.47,1570
N,2.445,0.2584,3.154,2.339,14.09,2050
N,2.208,0.2319,3.163,2.429,9.11,2050
N,2.266,0.2668,2.681,1.966,12.74,1600
N,3.351,0.189,2.407,1.952,6.17,1360
N,2.177,0.2519,3.001,2.245,14.92,1900
N,3.939,0.08,3.131,2.881,12.95,2020
Y,0.328,0.7875,2.289,0.487,9.4,1270
N,1.15,0.2622,2.695,1.988,12.61,1620
N,1.914,0.3139,2.742,1.881,17.15,1660
N,4.168,0.1807,3.171,2.598,28.34,2060
N,1.97,0.1438,2.92,2.5,13.11,1820
Y,0.439,0.7829,2.378,0.516,16.51,1340
N,2.058,0.2635,2.567,1.891,11.87,1500
N,1.29,0.3272,2.743,1.845,24.47,1660
N,1.403,0.4659,3.166,1.691,23.8,2060
N,2.254,0.24,2.604,1.979,11.7,1540
N,3.004,0.2024,3.124,2.492,9.55,2020
Y,0.132,0.392,1.571,0.955,20.04,719
Y,0.267,0.5311,0.706,0.331,16.15,217
N,2.171,0.1787,3.039,2.496,6.87,1940
N,2.554,0.1907,3.116,2.522,17.46,2010
N,1.575,0.3034,2.911,2.028,6.45,1810
N,2.118,0.2646,2.802,2.061,11.99,1710
N,2.141,0.1292,2.734,2.381,24.72,1650
N,2.275,0.1598,2.604,2.188,14.11,1530
N,2.563,0.1706,3.025,2.509,6.94,1920
N,2.073,0.0771,2.771,2.557,3.89,1680
N,2.005,0.1558,2.549,2.152,3.45,1490
Y,0.474,0.7656,2.795,0.655,11.64,1710
N,3.766,0.1063,3.114,2.783,14.22,2010
N,1.591,0.3002,2.474,1.731,10.24,1420
N,2.358,0.189,2.757,2.236,11.76,1670
N,5.997,0.0809,3.136,2.882,15.59,2030
N,2.302,0.1544,3.042,2.572,20.81,1940
N,2.996,0.1218,2.735,2.402,5.95,1650
N,2.228,0.1659,3.031,2.528,9.6,1930
N,4.912,0.0438,3.148,3.01,26.69,2040
N,5.8,0.0603,3.038,2.855,15.59,1930
N,3.409,0.2115,3.138,2.475,22.29,2030
N,2.191,0.2164,2.64,2.069,12.04,1570
Y,0.343,0.4981,2.039,1.023,42.16,1060
N,2.532,0.2303,2.842,2.188,9.18,1750
N,1.648,0.2939,2.785,1.967,19.61,1700
N,2.601,0.2365,2.776,2.119,9.02,1690
N,2.864,0.2613,2.646,1.955,20.13,1570
N,3.898,0.1142,3.167,2.805,22.86,2060
N,2.069,0.2922,2.548,1.803,26.21,1490
N,2.328,0.3179,2.886,1.969,9.35,1790
Y,0.398,0.5567,2.129,0.944,5.97,1130
Y,0.256,0.3463,1.543,1.009,11.47,700
N,1.736,0.1936,2.782,2.243,10.2,1690
N,1.975,0.1962,2.588,2.08,11.1,1520
N,4.597,0.1579,3.068,2.584,21.2,1960
Y,0.156,0.7513,2.71,0.674,7.62,1630
N,2.801,0.2406,2.768,2.102,20.24,1680
N,3.885,0.1386,3.019,2.6,13.57,1920
N,3.467,0.2394,3.181,2.419,15.4,2070
N,2.105,0.2748,2.654,1.924,14.36,1580
Y,0.252,0.8741,2.262,0.285,6.11,1240
N,2.004,0.1624,2.734,2.29,7.07,1650
N,2.13,0.1592,2.71,2.278,2.57,1630
N,1.846,0.1427,2.843,2.438,17.26,1750
N,3.231,0.0898,3.199,2.912,29.3,2090
N,2.487,0.2479,2.872,2.16,17.97,1780
N,2.474,0.1435,2.615,2.24,10.37,1540
N,1.912,0.2625,2.74,2.021,16.35,1660
N,4.332,0.1859,3.22,2.621,18.53,2110
N,1.806,0.2715,3.211,2.339,14.78,2100
N,1.912,0.46,3.196,1.726,22.7,2090
N,1.685,0.2557,3.009,2.239,9.18,1910
N,2.608,0.1347,2.989,2.586,13.88,1890
N,2.658,0.2938,2.643,1.866,13.04,1570
N,2.874,0.137,2.774,2.394,7.67,1690
N,1.895,0.1839,2.529,2.064,5.02,1470
N,1.693,0.2393,2.712,2.063,15.98,1630
N,1.93,0.1721,2.549,2.11,13.13,1490
Y,0.233,0.5501,2.033,0.915,11.66,1060
Y,0.076,0.6072,2.41,0.946,3.68,1370
N,2.135,0.2924,3.291,2.329,10.92,2180
N,2.044,0.1357,2.87,2.481,17.57,1780
N,3.829,0.0468,2.951,2.813,11.12,1850
Y,0.332,0.631,1.616,0.596,48.91,750
N,1.264,0.5695,3.043,1.31,26.91,1940
N,2.151,0.2476,3.185,2.397,16.1,2080
N,2.283,0.1007,2.471,2.222,16.51,1420
N,2.182,0.0811,2.788,2.562,3.99,1700
N,2.018,0.1572,2.874,2.422,11.5,1780
N,2.942,0.2128,2.544,2.003,3.75,1480
N,2.235,0.0865,2.773,2.533,4.47,1690
N,3.182,0.1619,3.359,2.815,18.9,2250
N,3.333,0.04,2.916,2.8,13.15,1820
N,2.507,0.22,2.766,2.157,12.49,1680
N,1.049,0.3487,2.771,1.805,19.12,1680
N,2.277,0.226,2.78,2.152,9.67,1690
Y,0.213,0.3688,1.555,0.982,20.95,708
N,2.685,0.176,2.764,2.277,9.84,1680
N,3.82,0.1337,3.214,2.784,20.4,2100
N,1.484,0.4704,2.997,1.587,20.38,1900
N,3.135,0.1293,2.877,2.505,10.37,1780
N,2.17,0.169,2.74,2.277,8.09,1660
N,2.384,0.3495,2.751,1.79,25.36,1670
N,2.746,0.147,2.861,2.44,18.52,1770
Y,0.139,0.5672,2.246,0.972,1.9,1230
Y,0.072,0.5371,1.878,0.869,5.16,940
N,0.937,0.5051,2.71,1.341,20.06,1630
N,1.477,0.5361,3.044,1.412,20.99,1940
N,1.674,0.3297,2.861,1.918,8.6,1770
N,3.998,0.0462,3.191,3.043,11.72,2080
N,3.037,0.2135,2.999,2.358,9.2,1900
N,1.331,0.4677,3.136,1.669,24.19,2030
Y,0.049,0.5636,2.188,0.955,8.61,1180
Y,0.047,0.5791,1.972,0.83,2.96,1010
N,1.547,0.1096,2.159,1.923,5.83,1160
N,2.064,0.1889,2.909,2.36,16.38,1810
N,3.291,0.1473,3.219,2.745,29.05,2110
N,1.942,0.281,2.78,1.999,21.19,1690
N,2.227,0.3228,2.55,1.727,25.8,1490
N,2.441,0.2113,2.284,1.801,24.17,1260
Y,0.157,0.5413,2.128,0.976,2.74,1130
N,3.565,0.1586,3.186,2.68,26.36,2080
N,3.923,0.2447,3.179,2.401,25.91,2070
N,2.321,0.1409,2.64,2.268,5.05,1570
N,2.23,0.5683,3.013,1.301,23.65,1910
N,3.828,0.3491,3.151,2.051,25.82,2040
N,1.28,0.3633,2.297,1.462,17.35,1270
Y,0.48,0.6914,2.033,0.628,34.37,1060
N,3.866,0.2052,3.14,2.495,27.5,2030
Y,0.882,0.4666,2.277,1.215,23.42,1250
Y,1.403,0.7977,2.494,0.505,10.94,1440
N,3.398,0.2086,3.171,2.51,15.48,2060
N,2.935,0.1696,3.225,2.678,26.16,2120
N,1.458,0.2818,2.371,1.703,27.48,1330
Y,0.392,0.6785,2.757,0.886,32.41,1670
N,3.065,0.1794,3.135,2.573,26.95,2030
Y,0.048,0.3685,1.57,0.991,2.39,718
N,1.565,0.3912,2.729,1.661,30,1650
Y,0.201,0.6556,2.278,0.785,11.59,1260
Y,0.35,0.5346,1.635,0.761,6.46,764
N,4.38,0.1,3.135,2.821,25.67,2030
N,2.637,0.0725,2.769,2.569,4.09,1680
N,2.026,0.209,2.754,2.178,4.93,1670
N,2.397,0.1791,3.213,2.637,27,2100
N,1.703,0.2311,2.757,2.12,7.25,1670
N,1.708,0.2357,2.773,2.119,7.05,1690
N,3.884,0.1792,3.2,2.627,19.97,2090
N,3.13,0.2688,3.209,2.347,27.92,2100
N,2.137,0.2483,3.188,2.397,16.41,2080
N,2.79,0.1474,3.15,2.685,16.31,2040
N,2.007,0.1772,2.842,2.339,14.09,1750
N,3.49,0.0738,3.151,2.918,15.27,2040
N,1.89,0.2125,2.691,2.119,12.78,1610
Y,0.47,0.3207,1.65,1.121,15.53,774
Y,0.06,0.6312,2.436,0.898,2.14,1390
Y,0.335,0.617,2.642,1.012,12.53,1570
Y,0.936,0.4636,1.482,0.795,32.98,659
N,2.971,0.2155,3.213,2.521,26.07,2100
N,2.432,0.2534,3.169,2.366,12.35,2060
N,2.904,0.2612,3.17,2.342,14.4,2060
N,3.126,0.1692,3.197,2.656,26.4,2090
N,2.129,0.1755,2.712,2.236,10.05,1630
N,2.47,0.1157,2.613,2.311,11.44,1540
N,1.639,0.1696,2.764,2.295,17.94,1680
N,3.182,0.0079,3.192,3.166,14.67,2080
N,3.436,0.2025,2.791,2.226,9.09,1700
N,1.931,0.1914,2.678,2.166,14.84,1600
N,1.006,0.2913,2.24,1.587,21.74,1220
N,1.996,0.2119,2.782,2.193,7.61,1700
N,2.755,0.204,3.243,2.582,24.84,2130
N,4.113,0.1417,3.206,2.752,16.08,2100
N,2.797,0.2797,3.144,2.265,24.92,2040
N,1.377,0.3328,2.553,1.703,25.1,1490
N,2.117,0.1715,3.137,2.599,29.07,2030
N,3.058,0.1733,3.077,2.544,15.77,1970
N,3.581,0.1387,3.104,2.673,12.96,2000
N,2.13,0.2288,3.068,2.366,12.21,1960
N,2.51,0.175,3.119,2.573,8.28,2010
N,3.33,0.1445,3.178,2.718,17.48,2070
N,3.535,0.3148,3.179,2.178,25.35,2070
N,2.463,0.0853,3.076,2.813,15.57,1970
N,3.141,0.2607,3.188,2.357,13.19,2080
N,2.842,0.1284,3.168,2.762,19.91,2060
N,4.03,0.2608,3.065,2.266,10.19,1960
N,3.901,0.1553,3.11,2.627,12.55,2000
N,3.326,0.0337,3.196,3.088,12.78,2090
N,1.907,0.1734,3.072,2.539,17.78,1970
Y,0.046,0.1197,1.095,0.964,4.69,419
Y,0.186,0.4105,1.539,0.907,28.62,697
N,5.319,0.2721,3.19,2.322,26.68,2080
N,3.932,0.2096,3.178,2.512,28.32,2070
N,2.21,0.2343,3.142,2.406,29.01,2030
Y,0.11,0.6053,2.456,0.969,4.03,1410
N,2.035,0.3376,2.605,1.726,24.99,1540
Y,0.359,0.7848,2.351,0.506,10.91,1320
N,2.836,0.3723,3.06,1.921,20.56,1960
Y,0.086,0.3267,1.368,0.921,5.42,584
N,3.823,0.1412,3.134,2.691,6.96,2030
N,2.98,0.1936,3.176,2.561,21.4,2070
N,2.484,0.1834,3.093,2.525,18.82,1990
N,3.551,0.1112,2.607,2.317,15.1,1540
N,2.408,0.1371,3.115,2.688,17.48,2010
N,3.32,0.1754,3.129,2.58,10.34,2020
N,4.78,0.0618,3.148,2.953,16.01,2040
N,4.287,0.1372,3.104,2.679,16.57,2000
N,3.189,0.221,3.184,2.48,25.93,2080
N,2.871,0.1506,3.069,2.607,11.4,1960
N,4.157,0.1673,3.18,2.648,26.56,2070
N,2.913,0.1799,3.136,2.572,24.5,2030
N,2.827,0.2483,3.166,2.379,16.39,2060
Y,0.543,0.1867,1.448,1.177,23.1,636
Y,0.422,0.433,1.779,1.009,7.91,867
Y,0.215,0.3552,1.321,0.852,5.59,555
Y,0.271,0.5093,1.879,0.922,12.66,941
N,2.895,0.1709,3.139,2.602,11.26,2030
N,3.254,0.0449,3.163,3.021,11.57,2050
N,3.362,0.1927,3.145,2.539,17.73,2040
N,2.263,0.2029,2.373,1.892,6.54,1340
N,2.223,0.2727,3.191,2.321,12.7,2080
N,4.713,0.0807,3.155,2.9,26.25,2050
N,3.584,0.0751,3.103,2.87,16.33,2000
N,2.655,0.2048,3.139,2.496,11.76,2030
Y,0.338,0.544,2.326,1.061,26.65,1300
N,3.566,0.1041,3.218,2.883,16.34,2110
N,1.901,0.2604,3.187,2.357,11.64,2080
N,4.056,0.164,3.112,2.602,26.64,2010
N,3.838,0.1871,3.192,2.595,12.4,2080
N,2.378,0.1835,3.173,2.591,26.59,2060
N,4.856,0.0938,3.084,2.794,14.25,1980
N,2.612,0.1704,3.183,2.64,2.72,2070
N,5.032,0.1177,3.188,2.813,28.41,2080
N,3.359,0.1405,3.067,2.636,15.01,1960
N,3.234,0.1618,3.99,3.345,9.14,2910
N,2.882,0.2122,3.111,2.451,18.21,2000
N,2.41,0.146,3.036,2.593,8.23,1930
N,3.888,0.1106,3.111,2.767,29.2,2000
N,3.289,0.2165,3.144,2.464,8.7,2040
N,2.665,0.2885,3.115,2.217,26.09,2010
N,3.979,0.0355,3.201,3.087,8.99,2090
N,4.359,0.0714,3.143,2.919,24.29,2040
N,2.263,0.1332,2.613,2.265,10.07,1540
N,2.035,0.2332,3.157,2.421,16.57,2050
N,2.273,0.1785,3.165,2.6,16.61,2060
N,2.273,0.3259,3.041,2.05,14.28,1940
N,4.149,0.1374,3.178,2.741,13.81,2070
