neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,1.914,0.4778,3.134,1.637,23.01,2030
N,2.615,0.2866,3.075,2.193,13.27,1970
N,1.295,0.3602,2.48,1.587,16.39,1430
N,1.306,0.2646,2.568,1.888,13.88,1500
N,1.494,0.298,2.645,1.857,12.18,1570
N,2.047,0.1937,3.045,2.455,16.89,1940
N,2.289,0.1933,2.637,2.127,12.34,1560
N,4.498,0.2094,3.131,2.475,11.36,2020
N,4.775,0.1063,3.158,2.823,28.12,2050
N,3.215,0.2081,3.038,2.405,11.47,1930
N,2.954,0.168,3.088,2.569,17.13,1980
N,2.723,0.2725,3.178,2.312,13.65,2070
N,2.179,0.2207,2.608,2.032,1.66,1540
N,2.298,0.1854,2.987,2.433,6.22,1890
Y,0.172,0.522,2.131,1.019,7.8,1140
N,4.554,0.1438,3.182,2.725,16.18,2070
N,3.239,0.1494,3.194,2.717,16.9,2090
N,2.571,0.0605,3.071,2.886,10.67,1970
N,2.886,0.1742,3.191,2.635,26.36,2080
N,1.83,0.2326,2.425,1.86,5.69,1380
N,2.941,0.1756,3.042,2.507,12,1940
N,3.325,0.0785,3.123,2.878,15.26,2020
N,3.865,0.2931,3.16,2.234,29.17,2050
N,1.842,0.3079,2.575,1.782,12.39,1510
N,1.728,0.2778,2.612,1.887,14.37,1540
N,3.396,0.1896,3.045,2.467,8.85,1940
Y,0.174,0.3758,1.539,0.961,26.77,698
N,1.649,0.455,2.649,1.444,8.34,1580
N,3.794,0.1722,3.087,2.555,26.18,1980
N,3.955,0.0994,3.188,2.871,16.38,2080
N,2.528,0.0884,3.081,2.809,17.04,1980
N,2.299,0.1735,2.545,2.103,14.64,1480
N,4.315,0.1686,3.051,2.536,26.89,1950
N,3.634,0.1885,3.208,2.603,22.95,2100
N,4.192,0.0665,2.994,2.795,14.69,1890
N,2.445,0.2031,3.135,2.498,11.44,2030
Y,0.554,0.7064,2.839,0.834,6.13,1750
N,2.881,0.0626,3.121,2.925,12.24,2010
N,3.183,0.0816,3.096,2.844,3.32,1990
N,2.146,0.1812,3.093,2.532,20.27,1990
N,2.898,0.1655,3.087,2.576,8.11,1980
Y,0.469,0.7376,2.173,0.57,6.74,1170
N,3.332,0.2299,3.167,2.439,12.07,2060
Y,0.519,0.6042,2.611,1.034,14.77,1540
N,4.261,0.4708,3.142,1.663,25,2030
N,2.87,0.3876,3.143,1.925,19.7,2040
N,2.359,0.1035,3.128,2.804,16.12,2020
N,2.151,0.2038,3.064,2.44,10.78,1960
Y,0.556,0.5888,2.619,1.077,27.04,1550
N,3.194,0.2054,3.114,2.475,9.21,2010
N,2.146,0.2305,2.908,2.238,10.92,1810
N,2.167,0.4063,2.848,1.691,18.35,1760
N,3.265,0.0766,3.136,2.896,16.08,2030
N,2.078,0.2263,3.112,2.408,9.71,2000
N,2.145,0.2399,3.087,2.346,26.23,1980
N,2.772,0.2739,3.186,2.314,12.52,2080
N,3.104,0.1251,3.176,2.778,12.2,2070
N,4.096,0.2114,3.17,2.5,9.02,2060
N,2.534,0.2828,2.978,2.136,0.69,1880
N,1.865,0.2781,2.881,2.079,9.13,1790
N,2.108,0.2241,2.848,2.209,7.65,1760
N,3.695,0.2243,3.206,2.487,25.81,2100
N,1.134,0.511,3.072,1.502,19.49,1970
N,2.555,0.1614,3.125,2.621,12.44,2020
N,2.303,0.2339,3.012,2.307,8.02,1910
N,4.344,0.0555,2.934,2.771,11.15,1840
N,3.038,0.2027,3.135,2.499,10.05,2030
N,2.569,0.1387,3.091,2.663,10.36,1990
N,1.494,0.2573,2.301,1.709,23.72,1270
N,2.512,0.2173,3.106,2.431,16.06,2000
N,1.396,0.3435,2.394,1.572,20.83,1350
N,2.144,0.2247,3.028,2.348,9.87,1920
N,4.146,0.135,3.165,2.738,13.61,2060
N,2.942,0.1235,3.218,2.821,18.98,2110
N,2.336,0.1963,3.001,2.412,7.18,1900
N,3.051,0.1346,3.129,2.708,4.53,2020
N,1.956,0.3401,3.165,2.089,26.4,2060
N,2.866,0.2219,3.176,2.471,11.92,2070
N,4.024,0.0264,3.019,2.939,13.98,1920
N,2.206,0.1792,3.068,2.518,17.7,1960
N,2.998,0.3009,3.137,2.193,23.92,2030
N,2.899,0.2604,2.976,2.201,17.76,1880
N,2.712,0.1497,2.969,2.524,7.45,1870
N,3.703,0.2029,3.146,2.508,11.99,2040
Y,0.421,0.7203,2.798,0.783,16.43,1710
N,2.623,0.1649,3.07,2.564,17.7,1960
N,1.957,0.1798,3.051,2.503,12.87,1950
N,2.41,0.1656,3.085,2.574,9.82,1980
N,2.431,0.2983,2.599,1.824,30.3,1530
N,2.73,0.1442,3.13,2.678,25.61,2020
Y,1.387,0.5452,2.423,1.102,48.05,1380
Y,0.404,0.6588,2.597,0.886,22.1,1530
N,1.677,0.411,2.61,1.537,13.77,1540
N,2.442,0.2612,3.187,2.354,16.1,2080
N,2.656,0.2455,3.142,2.371,20.55,2030
N,4.454,0.1279,3.144,2.742,10.25,2040
N,3.664,0.2039,3.058,2.434,15.57,1950
N,3.098,0.205,3.078,2.447,12.62,1970
N,2.59,0.1673,3.036,2.528,4.77,1930
N,2.401,0.1852,2.899,2.362,8.39,1800
N,1.666,0.2617,2.244,1.657,23.89,1230
N,2.239,0.4677,3.17,1.687,24.32,2060
N,0.587,0.0924,1.448,1.314,34.76,636
N,2.857,0.4311,3.188,1.814,24.24,2080
Y,0.085,0.1969,1.189,0.955,8.6,474
N,3.013,0.1675,3.017,2.512,8.64,1910
N,3.2,0.1434,2.931,2.51,12.07,1830
Y,0.242,0.329,1.243,0.834,6.09,506
N,1.735,0.4497,2.544,1.4,25.13,1480
N,4.171,0.1737,3.087,2.551,14.1,1980
N,2.257,0.1154,3.086,2.73,13.82,1980
N,5.644,0.1181,3.13,2.76,12.53,2020
N,2.145,0.2551,3.161,2.354,13.77,2050
Y,0.122,0.3485,1.466,0.955,9.17,648
N,4.646,0.1561,3.206,2.706,20.28,2100
N,2.534,0.2018,3.092,2.468,28.42,1990
Y,0.198,0.6358,2.26,0.823,13.5,1240
N,2.043,0.5128,3.145,1.532,19.93,2040
N,4.398,0.1744,3.132,2.585,28.21,2020
N,2.379,0.2524,3.091,2.311,15.13,1990
N,1.314,0.1644,2.238,1.87,4.79,1220
N,3.614,0.1395,3.227,2.777,18.84,2120
N,2.804,0.107,3.2,2.857,24.41,2090
N,3.013,0.1111,3.185,2.831,9.63,2080
N,2.104,0.18,2.892,2.371,4.25,1800
N,2.495,0.1268,3.182,2.778,19.13,2070
Y,2.923,0.6019,3.216,1.28,10.07,2110
N,1.979,0.2367,3.057,2.333,5.19,1950
N,3.029,0.1352,3.159,2.732,15.94,2050
N,2.405,0.1647,2.972,2.482,12.64,1870
N,2.984,0.0655,3.244,3.031,9.94,2130
N,2.617,0.2527,3.199,2.391,29.9,2090
Y,0.297,0.6399,2.211,0.796,20.91,1200
N,3.14,0.2294,3.186,2.455,16.42,2080
